Run	H	h	S	s	I	i	Hp	hp	Sp	sp	Ip	ip	A	Suspicious
sample_A	28	11	27	7	1	4	27	8	27	6	0	2	39	.
sample_B	23	5	23	1	0	4	21	1	21	0	0	1	28	.
sample_C	36	14	34	11	2	3	35	12	34	10	1	2	50	.
sample_D	27	12	27	9	0	3	27	11	27	9	0	2	39	.
sample_E	32	21	32	17	0	4	32	18	32	16	0	2	53	.
sample_F	23	14	21	12	2	2	22	12	21	11	1	1	37	.
sample_G	29	3	29	0	0	3	29	2	29	0	0	2	32	.
sample_HV	8	28	8	23	0	5	8	25	8	22	0	3	36	.
sample_H	8	17	8	14	0	3	8	15	8	14	0	1	25	.
sample_I	28	11	28	8	0	3	28	10	28	8	0	2	39	.
sample_J	25	6	25	3	0	3	25	5	25	3	0	2	31	.
sample_K	26	5	26	3	0	2	25	4	25	3	0	1	31	.
sample_L0	73	43	72	36	1	7	72	38	72	32	0	6	116	multiple_NUMTs
sample_L1	62	6	61	5	1	1	59	4	59	4	0	0	68	.
sample_L2	46	22	46	18	0	4	46	21	46	18	0	3	68	.
sample_L3	19	16	19	13	0	3	19	15	19	13	0	2	35	.
sample_L4	43	10	43	7	0	3	42	8	42	7	0	1	53	.
sample_L5	67	25	66	21	1	4	66	20	66	18	0	2	92	multiple_NUMTs
sample_M	21	5	21	2	0	3	21	4	21	2	0	2	26	.
sample_N	28	8	28	5	0	3	28	6	28	5	0	1	36	.
sample_P	22	13	21	9	1	4	21	10	21	8	0	2	35	.
sample_R	11	20	11	17	0	3	11	19	11	17	0	2	31	.
sample_S	1	20	1	16	0	4	0	19	0	16	0	3	21	.
sample_T	29	32	29	27	0	5	29	29	29	26	0	3	61	.
sample_U	15	17	15	14	0	3	15	16	15	14	0	2	32	.
sample_V	10	11	10	9	0	2	10	9	10	9	0	0	21	.
sample_W	30	26	30	23	0	3	30	23	30	22	0	1	56	.
sample_X	27	36	27	29	0	7	26	33	26	28	0	5	63	.
sample_Y	21	3	21	1	0	2	21	1	21	1	0	0	24	.
sample_Z	30	3	29	2	1	1	29	2	28	2	1	0	33	.
